,source,target,value
934,Harry,Wilhelmina,3
935,McGonagall,Wilhelmina,5
936,Draco,three,7
937,Draco,Umbridge,10
938,Arthur,Ministry,4
939,Malfoy,Ministry,3
940,Goyle,Pansy,5
941,Goyle,Neville,8
942,Harry,Mungo,4
943,Mungo,Snape,4
944,Neville,Weasley,5
945,Longbottom,Weasley,6
946,Longbottom,Snape,8
947,Harry,Longbottom,25
948,Merlin,Neville,4
949,Dean,two,2
950,Dean,Snape,3
951,Ministry,Snape,1
952,Pansy,Umbridge,20
953,Ministry,Pansy,4
954,Parvati,Ron,16
955,Parvati,Peeves,1
956,Peeves,Ron,32
957,Angelina,Hermione,14
958,Crookshanks,Sirius,8
959,Hedwig,Umbridge,5
960,Hermione,one,17
961,Granger,Ron,11
962,Granger,Weasley,4
963,Angelina,Peeves,5
964,Peeves,Umbridge,14
965,Katie,Peeves,8
966,Hermione,Peeves,7
967,Angelina,Slytherin,25
968,Alicia,two,2
969,Dobby,Hermione,20
970,Dobby,Hedwig,4
971,Dobby,Winky,18
972,Hermione,Winky,1
973,Winky,Winky,3
974,Harry,Winky,7
975,Dobby,Umbridge,7
976,Dobby,Dumbledore,9
977,Dobby,Snape,3
978,Hogwarts,second,4
979,Norris,second,5
980,Norris,Umbridge,6
981,Hermione,Norris,2
982,Barnabas,Harry,6
983,Barnabas,three,1
984,Barnabas,Dobby,3
985,Dobby,three,5
986,Cho,Fred,7
987,Cho,George,2
988,Anthony,Zacharias,5
989,Anthony,Anthony,4
990,Ernie,Michael,4
991,Creevey,Ernie,4
992,Creevey,Luna,4
993,Creevey,Michael,1
994,Cho,Marietta,35
995,Harry,Marietta,40
996,Marietta,Marietta,3
997,Alicia,Cedric,3
998,Alicia,Luna,4
999,Cho,Fudge,2
1000,Angelina,Dean,6
1001,Cho,one,9
1002,Harry,Wilbert,1
1003,Neville,Wilbert,4
1004,Parvati,three,9
1005,Terry,Umbridge,4
1006,McGonagall,Slytherin,2
1007,Slytherin,Snape,10
1008,Slytherin,Slytherin,3
1009,Miles,Snape,5
1010,Alicia,Slytherin,7
1011,Alicia,Miles,1
1012,Harry,Miles,4
1013,Alicia,Snape,4
1014,Malfoy,Miles,1
1015,Malfoy,Wood,1
1016,Ladislaw,one,4
1017,Ladislaw,Ron,3
1018,Harry,Warrington,10
1019,George,Ladislaw,1
1020,Ron,Warrington,4
1021,Slytherin,Warrington,6
1022,Warrington,Weasley,1
1023,Draco,Weasley,4
1024,Luna,Slytherin,11
1025,Angelina,Luna,7
1026,Hermione,Slytherin,4
1027,Angelina,Derrick,9
1028,Bole,Derrick,9
1029,Bole,Montague,3
1030,Montague,two,4
1031,Derrick,Montague,2
1032,Derrick,Slytherin,1
1033,Bole,two,1
1034,Derrick,one,1
1035,Bole,Harry,3
1036,Derrick,Harry,1
1037,Bole,Ron,1
1038,Montague,Slytherin,14
1039,Dudley,Montague,5
1040,Montague,one,10
